NAME,INTEREST
MONTEMAYOR #1,0.23970536
MOORE #12U CL,0.09423344
MOORE #5 CL,0.10432008
MOORE #6 CL,0.0048013
MOORE #7 CL,0.10432008
MORELAND #1,0.11703252
MORRIS 1H,0.00120389
MT#1,0.13261967
MUELLER #1,0.13871203
MULESHOE RANCH 1,0.0293334
MYRTLE #1,0.20157782
NATHANIEL 29 STAT,0.1332253
NEVILL #1,0.1844083
OBRIEN 1H,0.00153373
OLTMANN #1H,0.00082399
ORTIZ #1,0.13561787
OWEN #1H,0.00794613
OZELLE DAVIS UNIT,0.10974372
PADDY 13 STATE #1,0.11333628
PADDY 15 ST #1,0.13286115
PADDY 15 STATE #2,0.12108784
PADDY 15 STATE #3,0.2428813
PADDY 18 STATE #1,0.11917675
PADDY 18 STATE #2,0.15721361
PADDY 18 STATE #3,0.14443571
PADDY 19 ST #1,0.11889139
PADDY 19 STATE #2,0.05586372
PADDY 19 STATE #3,0.05586372
PADDY 19 STATE #4,0.15807538
PADDY 19 STATE #5,0.15477024
PADDY 20 ST #1,0.13121928
PADDY 23 STATE #1,0.16983016
PALM #1,0.2643973
PARKWAY #1,0.18374042
PC #1,0.24246344
PECAN GROVE #1,0.24003548
PFEIFFER #1,0.2383521
PICKENS #1,0.1990662
PICKENS WEAVER #1,0.240744
PICKWILL #1,0.2236875
PIERCE RANCH #4,0.2980658
POST #2,0.036575
POST OAK #1,0.00039687
PRATKA #1,0.20212024
PRESTON #1,0.20013388
RA#1,0.19828677
RAIDER 9 STATE #1,0.13606324
RAIDER 9 STATE #3,0.13606324
RANGER 1H,0.08300816
RBCLARY #1,0.18374059
RHODES #1,0.23280081
RICHARD #1,0.16496144
RICHARDSON #1,0.19368165
RONALD #1,0.24454823
RUEN #1,0.20309143
RUSSELL #1,0.118173
RUTH #1,0.19368165
RUTHPICK #1,0.20682983
SANDIFER #1,0.1414875
SEAWASP 2H,0.00022433
SLAUGHTER B #1,0.1291896
SOELL #1,0.13998861
SOLANSKY #1,0.21128312
SPILLER T BAR X #,0.14424036
STANGE #1-D,0.18039949
STILLWAGON #1H,0.03318731
STINGRAY #2H,0.00014186
SUGARLAND #1,0.24685575
TECH 16 STATE #1,0.13732912
THALMANN #1,0.099309
THOMAS #1,0.179625
THOMAS 1H (MD),0.00160862
THOMPSON #1,0.0934746
THOMPSON #2,0.07590163
THUSS #1,0.2635536
TIMOTHY #1,0.14
TLAPEK #1,0.14634954
TOMAHAWK STATE 19,0.05739312
TORTUGA A UNIT 4R,0.05005921
TORTUGA B UNIT 2R,0.05005921
TORTUGA C UNIT 5,0.05005921
TORTUGA UNIT 1RE,0.05005921
TRIPLE A FEDERAL,0.03392519
TRIPLE J #2,0.1393983
TROTTER #1,0.19368165
VERMILLION #1,0.25249207
VERNA #1,0.26602634
WATSON-BUCK #1,0.129375
WAYNE #1,0.18693247
WHEATON CATTLE CO,0.00093264
WHITE MARLIN #1,0.33469766
WHITE-SPRINGER #1,0.1624376
WHITTINGTON #1,0.20131551
WIESE #1-H UNIT,0.10728853
WILFRED DAINTY 2H,0.00142861
WILLIAM #1,0.22405588
WILLIE #1,0.19252022
WOMBAT 1H,0.0007134
WOMBAT 2H,0.00048162
WOMBAT 3H,0.0007134
WOOD UNIT B 1H,0.0623214
